biopsy	array	fibrosis_stage	program	predeclared_genes	available_hidden_genes	n_available	spatial_residual_pearson	measured_mean_residual	predicted_mean_residual
VLP119_D_C4	VLP119_D	F4	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.4334253805515527	0.09725598990917206	-0.27025261521339417
VLP119_D_C4	VLP119_D	F4	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.4579465016981814	0.11938336491584778	-0.06172453984618187
VLP119_D_C4	VLP119_D	F4	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.6283796058111614	0.23301467299461365	0.05692640319466591
VLP119_D_C4	VLP119_D	F4	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.5978049364231103	-0.6514770984649658	-0.4467816948890686
VLP120_A_C1	VLP120_A	F0	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.643636559919362	0.29271239042282104	-0.05880596488714218
VLP120_A_C1	VLP120_A	F0	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.7974026261542804	0.09531164914369583	-0.11696751415729523
VLP120_A_C1	VLP120_A	F0	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.7182444618250639	0.0650482177734375	-0.05649079382419586
VLP120_A_C1	VLP120_A	F0	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7197471431270039	0.04390835016965866	-0.04167350381612778
VLP120_A_C1	VLP120_A	F0	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.7716597986526558	-0.3928115665912628	-0.38445550203323364
VLP120_A_C2	VLP120_A	F0	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6326947998962333	0.19788168370723724	-0.08300561457872391
VLP120_A_C2	VLP120_A	F0	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.8098642336775959	0.05039173737168312	-0.1656849980354309
