target_key	stage	target_embryo	gene	gene_index	endpoint	method	value
50p_E1_to_E2	50% epiboly	E2	etv5b	122	spatial_pearson	anchor_only_calibrated	0.68710285
50p_E1_to_E2	50% epiboly	E2	eve1	123	spatial_pearson	registered_idw_k12	0.07236982
50p_E1_to_E2	50% epiboly	E2	eve1	123	spatial_pearson	hyperspatial_map_calibrated_fusion	0.45874277
50p_E1_to_E2	50% epiboly	E2	eve1	123	spatial_pearson	anchor_only_calibrated	0.68489176
50p_E1_to_E2	50% epiboly	E2	fezf2	126	spatial_pearson	registered_idw_k12	0.20705934
50p_E1_to_E2	50% epiboly	E2	fezf2	126	spatial_pearson	hyperspatial_map_calibrated_fusion	0.39955446
50p_E1_to_E2	50% epiboly	E2	fezf2	126	spatial_pearson	anchor_only_calibrated	0.4109281
50p_E1_to_E2	50% epiboly	E2	fgf8a	127	spatial_pearson	registered_idw_k12	0.6942253
50p_E1_to_E2	50% epiboly	E2	fgf8a	127	spatial_pearson	hyperspatial_map_calibrated_fusion	0.66489536
50p_E1_to_E2	50% epiboly	E2	fgf8a	127	spatial_pearson	anchor_only_calibrated	0.5887669
50p_E1_to_E2	50% epiboly	E2	flrt3	128	spatial_pearson	registered_idw_k12	0.6844816
50p_E1_to_E2	50% epiboly	E2	flrt3	128	spatial_pearson	hyperspatial_map_calibrated_fusion	0.737982
50p_E1_to_E2	50% epiboly	E2	flrt3	128	spatial_pearson	anchor_only_calibrated	0.74378115
50p_E1_to_E2	50% epiboly	E2	fnbp1l	131	spatial_pearson	registered_idw_k12	0.28441653
50p_E1_to_E2	50% epiboly	E2	fnbp1l	131	spatial_pearson	hyperspatial_map_calibrated_fusion	0.35371718
50p_E1_to_E2	50% epiboly	E2	fnbp1l	131	spatial_pearson	anchor_only_calibrated	0.362803
50p_E1_to_E2	50% epiboly	E2	fosab	132	spatial_pearson	registered_idw_k12	0.15020232
50p_E1_to_E2	50% epiboly	E2	fosab	132	spatial_pearson	hyperspatial_map_calibrated_fusion	0.3453481
50p_E1_to_E2	50% epiboly	E2	fosab	132	spatial_pearson	anchor_only_calibrated	0.35751042
50p_E1_to_E2	50% epiboly	E2	foxa	133	spatial_pearson	registered_idw_k12	0.34882745
50p_E1_to_E2	50% epiboly	E2	foxa	133	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6913559
50p_E1_to_E2	50% epiboly	E2	foxa	133	spatial_pearson	anchor_only_calibrated	0.6969058
50p_E1_to_E2	50% epiboly	E2	foxa2	134	spatial_pearson	registered_idw_k12	0.15134972
50p_E1_to_E2	50% epiboly	E2	foxa2	134	spatial_pearson	hyperspatial_map_calibrated_fusion	0.4097782
50p_E1_to_E2	50% epiboly	E2	foxa2	134	spatial_pearson	anchor_only_calibrated	0.42777792
50p_E1_to_E2	50% epiboly	E2	foxa3	135	spatial_pearson	registered_idw_k12	0.5818065
50p_E1_to_E2	50% epiboly	E2	foxa3	135	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7994334
50p_E1_to_E2	50% epiboly	E2	foxa3	135	spatial_pearson	anchor_only_calibrated	0.8144906
50p_E1_to_E2	50% epiboly	E2	foxb1a	136	spatial_pearson	registered_idw_k12	-0.07538574
50p_E1_to_E2	50% epiboly	E2	foxb1a	136	spatial_pearson	hyperspatial_map_calibrated_fusion	0.23913427
50p_E1_to_E2	50% epiboly	E2	foxb1a	136	spatial_pearson	anchor_only_calibrated	0.35722676
50p_E1_to_E2	50% epiboly	E2	foxb1b	137	spatial_pearson	registered_idw_k12	0.24928974
50p_E1_to_E2	50% epiboly	E2	foxb1b	137	spatial_pearson	hyperspatial_map_calibrated_fusion	0.48240054
50p_E1_to_E2	50% epiboly	E2	foxb1b	137	spatial_pearson	anchor_only_calibrated	0.48442784
50p_E1_to_E2	50% epiboly	E2	foxc1a	138	spatial_pearson	registered_idw_k12	0.35465255
