extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_rank	anchor_gene	anchor_gene_index	utility_median_residual_pearson	mse_improvement_median	fraction_genes_helped	genes_evaluated	top_supported_genes
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	5	gata2a	156	4.597407683359922e-05	6.8331508733254775e-06	0.5156576200417536	479	fscn1a,cldnd,ved,klf2b,tuba8l2,dact2,szl,zswim5,tbxta,crabp2b
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	6	vent	466	-9.798799549043391e-05	-2.804928246141064e-05	0.48434237995824636	479	fzd8a,ved,wnt8a,axin2,bmp2b,dld,wnt11f2,drll.3,zgc:113372,eve1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	7	krt8	225	0.0005474186909483203	0.00013337966185556285	0.615866388308977	479	akap12b,si:ch211-155e24.3,krt18a.1,brd2a,igf2bp1,mycn,tcf3b,xbp1,nasp,sox19a
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	8	si:ch211-113a14.12	376	0.0017875064452519407	0.0005493850560769897	0.778705636743215	479	si:dkey-261m9.12,snrpd3,ppp1r7,tbr1b,hoxc8a,irx1b,rac1a,gapdh,tmed10,gata3
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	9	tfap2c	441	-0.0001305319629016921	-5.84219547008491e-05	0.4488517745302714	479	bambia,szl,admp,foxd3,sp8b,tuba8l2,mycn,dld,atrxl,sox17
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	10	oclna	300	0.001754996933247377	0.0004996658883602845	0.732776617954071	479	nckap5l,arl4d,epcam,bcl2l1,supt16h,cdh1,rfx2,elavl3,ved,casz1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	11	frmd4ba	149	0.0019656389571226507	0.0005556883966569837	0.7432150313152401	479	irx7,kmt5aa,dkk1b,zswim5,lhx1a,kirrel3l,rcc1,efna1a,klf3,lft1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	12	dynll1	97	0.0019646309406563534	0.0005841200880533637	0.7202505219206681	479	rbm4.3,rpl10,rplp2l,rplp0,CU570769.1,creb3l1,hoxb9a,pmp22b,anp32e,rac1a
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	13	vgll4l	467	0.001307095593750085	0.00028210739453313205	0.6617954070981211	479	sox11a,prickle1b,tcf3b,tbx16,sox11b,tbxta,rnd1b,lhx1a,arl4ab,zic2a
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	14	nkx2.5	290	0.0014523475057247603	0.0004389608266453515	0.7640918580375783	479	lmo4a,her2,nr2f2,tbx3b,ntd5,otx2b,hivep2a,six7,clocka,mef2d
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	15	cdx4	57	0.00023943179528618241	6.277323450859518e-05	0.5615866388308977	479	her1,eve1,dld,nanos3,tbxta,apoc1,pbx4,her7,msx1b,msgn1
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	16	zgc:175088	485	0.000697790849443547	0.00022607293624804514	0.7056367432150313	479	prdm1a,hic1l,rreb1b,snrpg,rpl19,notch1a,fzd7b,skila,hells,clocka
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	1	znf185	491	0.0015941318324511622	0.0004599662793618453	0.6931106471816284	479	krt4,krt8,krt18a.1,grhl1,perp,eppk1,elf1,krt99,oclna,tagln2
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	2	kirrel3l	214	0.00032203149563814204	4.158824267319616e-05	0.5594989561586639	479	lhx1a,foxa,pcdh10b,btg2,tbx16,tph1b,zfand5a,sall3b,fn1a,tuba8l2
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	3	nsd2	298	0.0010629507205440758	0.00023000204034001603	0.6534446764091858	479	mycn,sox11b,otx1,gli2a,sox11a,ccnf,irx7,mycla,tcf7l2,aurkb
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	4	cdh6	53	0.005401506152782842	0.0016477540130394597	0.7306889352818372	479	gata6,lamp2,cst3,atp2b1a,sox32,h1-0,ednraa,rxrgb,arl6ip5a,smtnl
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	5	tfap2c	441	0.0012587973975456968	0.00021603026185001983	0.6200417536534447	479	foxd3,zeb1b,foxb1a,msx1b,gli1,admp,pax3a,myclb,msx3,tdgf1
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	6	lmo4a	241	0.00024284367494586956	4.023760558302669e-06	0.5323590814196242	479	hoxb1b,gbx1,foxb1b,eve1,sp5l,rasgef1ba,sp8b,foxd5,zeb2b,axin2
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	7	tgif1	442	0.0010810285824564003	0.0003346576248406674	0.6346555323590815	479	tcf3b,rbbp4,akap12b,prickle1b,notch1a,rpl4,tbxta,rps3,mns1,tubb2b
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	8	six4a	390	0.0009499942585501353	0.00017741684292282844	0.615866388308977	479	msgn1,foxc1a,mespab,efemp2b,tbx16l,sox5,meis1b,fn1b,noto,wnt11f2
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	9	lamb1a	227	0.0024726621677148286	0.0006177999870533579	0.7181628392484343	479	bmp2b,lef1,bmp7a,her6,cdt1,lhx5,notch1a,erf,znfl2a,otx1
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	10	ved	465	0.00038055316158758234	6.0160113862506304e-05	0.55741127348643	479	otx1,tp63,szl,fgf8a,nanog,klf2a,irx7,cdc42ep4a,foxi1,cdx4
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	11	lft2	233	2.2562152164895544e-05	-1.948434634818641e-05	0.5073068893528184	479	ndr2,nog1,twist2,nkx2.2a,foxp1b,lhx1a,gsc,cux1a,noto,spon1b
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	12	dlx3b	90	8.970663541707502e-05	1.2400727547962065e-05	0.534446764091858	479	foxi1,gata2a,tp63,klf2a,PCDH8,bmp2b,msx3,fgf8a,nanog,cdkn1ca
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	13	fezf2	126	0.00042707966181043666	0.0001154215127113778	0.5782881002087683	479	otx2b,six7,igfbp1a,mych,admp,lratb.1,clocka,pax6b,otx2a,rx3
