extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_a	anchor_b_conditioned	anchor_a_rank	anchor_b_rank	conditional_utility_median_residual_pearson	conditional_mse_improvement_median	fraction_genes_helped_conditionally	genes_evaluated	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	cfl1l	5	12	0.00039196808203911804	7.381435286329951e-05	0.5803757828810021	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	cdx4	5	13	0.0004731601915924921	6.929702884367339e-05	0.5678496868475992	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	hoxb1b	5	14	0.0004242060899916078	6.462615473018518e-05	0.5762004175365344	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	sox10	5	15	0.0004077535666240639	6.896662147032329e-05	0.5741127348643006	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	tfap2c	foxg1a	5	16	0.00044833238254721186	6.877836324166442e-05	0.5803757828810021	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	klf2a	6	1	0.0036939664508244263	0.000680747488637945	0.7745302713987474	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	gata5	6	2	0.003764249550342977	0.0006375399151867488	0.7640918580375783	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	perp	6	3	0.003379459334984458	0.0006836764674910678	0.7849686847599165	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	mdm2	6	4	0.0031643555798404333	0.0005816580773548297	0.7682672233820459	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	cxcr4a	tfap2c	6	5	0.00300796250178173	0.0005899481730269329	0.7766179540709812	479	lower conditional utility indicates greater substitution/redundancy
