fold	cohort	method	cells	ancestors	genes	rho_future_pooled	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	original_rho_future_pooled	residual_pearson_status	table	estimate	ci95_low	ci95_high	bootstrap_unit	replicates	original_estimate	status	observed	null_mean	null_ci_low	null_ci_high	empirical_p	permutations	ancestor_count	descendant_count	division_fraction	median_path_length	eligible	guard_stability_fraction	prediction_sha256	remaining_ancestors	remaining_descendants	removed_fraction	rho_future_disjoint	rho_future_full	rho_future_shared	gene	future_residual_pearson	final_pearson	final_spearman
A		B1_lineage_registered_idw									0.7484788298606873					per_gene																											brd2a	0.04216025	0.04246794	0.0474611849123853
A		B1_lineage_registered_idw									1.1880427598953247					per_gene																											btg2	-0.27885795	-0.24657151	-0.2567947358548005
A		B1_lineage_registered_idw									0.601635217666626					per_gene																											c1qbp	-0.02932052	0.10265228	0.106351770731866
A		B1_lineage_registered_idw									0.7715548872947693					per_gene																											C7H16orf87	0.037599307	0.00067742314	-9.655165119628142e-05
A		B1_lineage_registered_idw									0.9771410822868348					per_gene																											ca9	0.12329715	0.1265594	0.1478396739476065
A		B1_lineage_registered_idw									0.8506191968917847					per_gene																											casz1	0.13032086	0.044263262	0.0461794730312558
A		B1_lineage_registered_idw									0.4248624145984649					per_gene																											cbx3a	-0.009863355	0.20931375	0.2185517843406708
A		B1_lineage_registered_idw									0.4639138579368591					per_gene																											cbx5	0.0833097	0.20996848	0.2076311622950493
A		B1_lineage_registered_idw									1.0302430391311646					per_gene																											ccne2	0.02584087	-0.00064585364	0.0020025601128844
A		B1_lineage_registered_idw									1.344254970550537					per_gene																											ccnf	0.017116373	-0.07177001	-0.0580550921028478
A		B1_lineage_registered_idw									0.8031571507453918					per_gene																											ccng1	-0.030024827	0.019994058	0.0216961364256576
A		B1_lineage_registered_idw									0.8285495638847351					per_gene																											cd63	0.06154723	-0.0040879846	-0.0026501072419572
A		B1_lineage_registered_idw									0.8624301552772522					per_gene																											cdc14b	-0.08830034	-0.13108097	-0.130133986987473
A		B1_lineage_registered_idw									0.5510923266410828					per_gene																											cdca8	-0.021197865	0.11033679	0.1288944191976283
A		B1_lineage_registered_idw									0.9446274042129515					per_gene																											cdh1	0.11234988	0.3516853	0.3577912581391511
A		B1_lineage_registered_idw									1.0872169733047483					per_gene																											cdh2	0.020914532	-0.023713766	-0.0297986920411967
