target_key	stage	source_embryo	target_embryo	method	seed	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high	predictable_genes	residual_spatial_pearson_median	rank_svg_spatial_pearson_median	effect_vs_idw_svg_spatial_pearson_median	rank_residual_spatial_pearson_median	effect_vs_idw_residual_spatial_pearson_median	rank_auprc_enrichment_median	effect_vs_idw_auprc_enrichment_median	rank_topk_dice_median	effect_vs_idw_topk_dice_median	rank_weighted_centroid_error_median	effect_vs_idw_weighted_centroid_error_median	rank_spatial_emd_median	effect_vs_idw_spatial_emd_median	rank_log1p_rmse	effect_vs_idw_log1p_rmse	mean_rank_7_endpoints	endpoint_gene_set	effect_orientation	evaluation_unit
75p_E2_to_E1	75% epiboly	E2	E1	atlas_plus_global_anchor_residual	43.0	0.6397459506988525	0.5832971846476003	3.3409767898578573	0.5947497334497749	0.0188654499564084	0.061937193506076	0.6284091273943583	0.2166617759171824	100.0	0.5732868388295174	0.7161544372638066	467.0	0.3715828160444895	4.0	0.20958386858304345	3.0	0.3715828160444895	3.0	0.9484574942603343	2.0	0.1563054264625905	2.0	0.0049846191039281985	1.0	0.005764526983571994	3.0	0.1551435192426046	2.5714285714285716	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E2_to_E1	75% epiboly	E2	E1	atlas_plus_local_anchor_residual	43.0	0.640826404094696	0.5781097804038541	3.294761627082656	0.594330954168255	0.0184860358297672	0.0629098577084445	0.6348126331965128	0.241665042766183	100.0	0.5707023541132609	0.7120409369468689	467.0	0.3629578649997711	3.0	0.21066432197888696	4.0	0.3629578649997711	4.0	0.9022423314851329	4.0	0.1558866471810706	1.0	0.005364033230569398	2.0	0.004791862781203499	4.0	0.14874001344045007	3.142857142857143	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E2_to_E1	75% epiboly	E2	E1	anchor_only_calibrated	43.0	0.6557109355926514	0.6195159966085138	3.395297679937498	0.6144211068224386	0.0240316085812847	0.0676704493634432	0.5932778716087341	0.102435977879654	100.0	0.6092545146743457	0.695726548631986	467.0	0.5302746693293253	2.0	0.22554885347684228	2.0	0.5302746693293253	2.0	1.0027783843399751	1.0	0.17597679983525416	5.0	-0.00018153952094810202	5.0	3.1271126204795996e-05	1.0	0.19027477502822876	2.5714285714285716	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
75p_E2_to_E1	75% epiboly	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.6748987038930258	0.6292147498376961	3.397954698934985	0.594412843188825	0.0202545905309555	0.0638215407433529	0.6225960453351339	0.1904687078259614	100.0	0.6058764855066935	0.7166432857513428	467.0	0.5303763349850973	1.0	0.24473662177721667	1.0	0.5303763349850973	1.0	1.005435403337462	3.0	0.15596853620164064	3.0	0.003595478529381097	3.0	0.0038801797462950927	2.0	0.16095660130182898	2.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	registered_nearest_neighbor	43.0	0.3367764353752136	0.2928116406251995	1.827613754425528	0.4080928028866825	0.0141911253622943	0.0401464792001314	0.8994667530059814	0.0411049555144992	100.0	0.303318395713965	0.3657273545861244	441.0	-0.0893429418404896	6.0	-0.11011308431625355	6.0	-0.0893429418404896	6.0	-0.37648276813755666	6.0	-0.035300067326337115	5.0	-0.0013845393308024988	4.0	0.0002817032937447936	6.0	-0.1504066983858744	5.571428571428571	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	registered_idw_k12	43.0	0.4468895196914672	0.3859828785765135	2.2040965225630846	0.4433928702130196	0.0128065860314918	0.0404281824938762	0.749060054620107	0.3102916569544016	100.0	0.4027121601005394	0.4736422223349412	441.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	4.0	0.0	5.0	0.0	5.0	0.0	4.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	atlas_plus_global_anchor_residual	43.0	0.5611987908681234	0.4974111909874443	2.6571431570567703	0.5271463684989955	0.0123608820394044	0.0385461175378459	0.6471485694249471	0.2643017214655028	100.0	0.521219719449679	0.5881518324216207	441.0	0.341877818107605	4.0	0.11430927117665624	3.0	0.341877818107605	3.0	0.45304663449368565	4.0	0.08375349828597595	2.0	0.0004457039920874005	1.0	0.0018820649560302993	3.0	0.10191148519515991	2.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	atlas_plus_local_anchor_residual	43.0	0.5629119674364725	0.4963380361405001	2.609671745582719	0.5274632963505616	0.0126232971087414	0.0401330366320831	0.6486491759618124	0.2769115482471866	100.0	0.5315918649236361	0.5919117530186971	441.0	0.3251039385795592	3.0	0.11602244774500536	4.0	0.3251039385795592	4.0	0.40557522301963456	3.0	0.08407042613754195	3.0	0.0001832889227504006	3.0	0.0002951458617930988	4.0	0.10041087865829468	3.4285714285714284	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	anchor_only_calibrated	43.0	0.594792902469635	0.5131868321270735	2.7726309448241	0.5421104807909454	0.0187068440135896	0.0447985568176319	0.5866712331771851	0.124170398786677	100.0	0.5624547600746155	0.6208235397934914	441.0	0.5366631348927816	2.0	0.14790338277816784	1.0	0.5366631348927816	2.0	0.5685344222610156	2.0	0.09871761057792577	6.0	-0.005900257982097798	6.0	-0.004370374323755706	1.0	0.162388821442922	2.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E1_to_E2	6-somite	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.6208569407463074	0.5253599363088948	2.8620388788873403	0.5626885390025395	0.0118181277424988	0.03858839444646	0.6181702613830566	0.2621774514998337	100.0	0.5919723903139432	0.6438247039914131	441.0	0.5311692953109741	1.0	0.1739674210548402	2.0	0.5311692953109741	1.0	0.6579423563242557	1.0	0.11929566878951986	1.0	0.0009884582889930008	2.0	0.0018397880474161979	2.0	0.1308897932370504	1.4285714285714286	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	registered_nearest_neighbor	43.0	0.3443219065666199	0.3048443847643133	1.8210097217772008	0.412137422720882	0.0191150333335171	0.0437006480724432	0.8985331455866495	0.0476244424198472	100.0	0.315400435278813	0.3783745765686035	414.0	-0.0902377068996428	6.0	-0.0990979373455047	6.0	-0.0902377068996428	6.0	-0.29244594552110037	6.0	-0.04113863216396629	5.0	0.00040817661852770096	6.0	-0.0015141780881470987	6.0	-0.13275321324666334	5.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	registered_idw_k12	43.0	0.4434198439121246	0.387829542320915	2.113455667298301	0.4532760548848483	0.0195232099520448	0.0421864699842961	0.7657799323399862	0.3086401724111252	100.0	0.4138949659963448	0.4680033373335996	414.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	5.0	0.0	6.0	0.0	4.0	0.0	5.0	0.0	5.0	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	atlas_plus_global_anchor_residual	43.0	0.5534189542134603	0.5008084717620166	2.524020914076357	0.5134492776740478	0.0149788087660737	0.0386003695136412	0.6596857110659281	0.2386307086332088	100.0	0.5039990186691284	0.5811050718029339	414.0	0.3352099657058716	3.0	0.10999911030133575	3.0	0.3352099657058716	3.0	0.41056524677805584	3.0	0.06017322278919951	2.0	0.0045444011859711	1.0	0.003586100470654899	3.0	0.1060942212740581	2.5714285714285716	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	atlas_plus_local_anchor_residual	43.0	0.5479273200035095	0.489578913081703	2.460431066475879	0.5102944564518483	0.0175476581985755	0.0416639627827246	0.676970362663269	0.2729875039666922	100.0	0.4854733347892761	0.5721013362209002	414.0	0.3163378238677978	4.0	0.10450747609138494	4.0	0.3163378238677978	4.0	0.3469753991775777	4.0	0.057018401567000054	4.0	0.0019755517534693	3.0	0.000522507201571501	4.0	0.08880956967671716	3.857142857142857	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	anchor_only_calibrated	43.0	0.5765857696533203	0.5235979168021895	2.6162629798629387	0.5271441254667191	0.014674989241859	0.0431521341143085	0.6097576022148132	0.1280323363914302	100.0	0.5404031058152516	0.6171919107437134	414.0	0.514342466990153	2.0	0.13316592574119573	1.0	0.514342466990153	1.0	0.5028073125646375	2.0	0.07386807058187078	1.0	0.004848220710185801	5.0	-0.0009656641300124016	1.0	0.15602233012517297	1.8571428571428572	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
6s_E2_to_E1	6-somite	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.5788195331891378	0.5148773274603915	2.610849757723298	0.5300805380568825	0.0156891454207954	0.0401463954122713	0.6590457359949747	0.2589757214231927	100.0	0.5220633720358213	0.6186697701613108	414.0	0.48702401916186	1.0	0.13539968927701324	2.0	0.48702401916186	2.0	0.4973940904249967	1.0	0.0768044831720342	3.0	0.0038340645312494002	2.0	0.0020400745720247984	2.0	0.10673419634501147	1.8571428571428572	frozen source-defined confirmatory non-anchor	positive_is_better_than_registered_idw_k12	directional target embryo
