target_key	stage	annotation	class	n_cells	cell_fraction	median_absolute_truth_residual	median_within_class_truth_residual_variance	hyperspatial_map_calibrated_fusion__median_within_class_residual_pearson	hyperspatial_map_calibrated_fusion__genes_with_positive_within_class_recovery	anchor_only_calibrated__median_within_class_residual_pearson	anchor_only_calibrated__genes_with_positive_within_class_recovery	atlas_plus_global_anchor_residual__median_within_class_residual_pearson	atlas_plus_global_anchor_residual__genes_with_positive_within_class_recovery	atlas_plus_local_anchor_residual__median_within_class_residual_pearson	atlas_plus_local_anchor_residual__genes_with_positive_within_class_recovery	n_genes	primary_method
6s_E1_to_E2	6-somite	clusters	Primordial Germ Cells	41	0.0015855827983602753	0.4754207134246826	0.32602396607398987	0.5598555207252502	435	0.5950673222541809	438	0.33389487862586975	382	0.34444108605384827	375	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Pronephros - anterior	399	0.015430427720628045	0.4375782012939453	0.35333365201950073	0.49006709456443787	441	0.5146079063415527	441	0.2963082492351532	427	0.29142245650291443	414	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Pronephros - posterior	227	0.008778714517750794	0.46365728974342346	0.41459736227989197	0.5237938761711121	440	0.5520626902580261	440	0.32494714856147766	402	0.3167198598384857	393	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Somites Formed	1569	0.06067754660066517	0.44179925322532654	0.36291196942329407	0.4923282861709595	441	0.519832968711853	441	0.2867441475391388	433	0.27469173073768616	426	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Somites Forming	1055	0.04079975249439245	0.39843931794166565	0.34257957339286804	0.4492698311805725	440	0.47252437472343445	441	0.24576379358768463	427	0.2356707900762558	428	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Spinal Cord	1174	0.0454018098847552	0.4542778730392456	0.39960798621177673	0.41595080494880676	441	0.42745348811149597	440	0.23321886360645294	439	0.242117777466774	431	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Spinal Cord Differentiated	437	0.016899992265449765	0.4803595542907715	0.4415861666202545	0.4437199831008911	439	0.4608769118785858	441	0.26160115003585815	429	0.2826482057571411	425	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Tailbud - dorsal core	425	0.016435919251295537	0.4014703035354614	0.31753993034362793	0.4223182499408722	435	0.4443718194961548	441	0.2421519160270691	401	0.24714358150959015	396	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Tailbud - dorsal peripheral	389	0.015043700208832856	0.46212220191955566	0.38022127747535706	0.4149129390716553	441	0.4302358329296112	441	0.2454652339220047	424	0.2503466308116913	420	441	hyperspatial_map_calibrated_fusion
6s_E1_to_E2	6-somite	clusters	Tailbud - ventral core	317	0.012259262123907495	0.4116602838039398	0.27095144987106323	0.4736756682395935	438	0.505326509475708	441	0.2920949459075928	420	0.2972700297832489	415	441	hyperspatial_map_calibrated_fusion
