panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6j,75p_E1_to_E2,75% epiboly,sox17,500.0,,0.10413172,0.11480396017432212,True,,3.1157741547595506,0.3577032119751976,,,
S6j,75p_E1_to_E2,75% epiboly,sox19a,500.0,,0.0017868151999999998,0.0069563491968438005,True,,38.32725324566249,0.2666177573326932,,,
S6j,75p_E1_to_E2,75% epiboly,sox2,500.0,,0.0018800781,0.0066076555754989285,True,,24.357852127767938,0.16094829741922426,,,
S6j,75p_E1_to_E2,75% epiboly,sox3,500.0,,0.0033728866999999997,0.008411844121292233,True,,35.236626118040114,0.2964050062652081,,,
S6j,75p_E1_to_E2,75% epiboly,sox32,500.0,,0.056267637999999995,0.0643052227795124,True,,5.473283241933872,0.3519606982079295,,,
S6j,75p_E1_to_E2,75% epiboly,sox5,500.0,,0.02344548,0.02981258714571595,True,,6.502082463669365,0.1938439000767744,,,
S6j,75p_E1_to_E2,75% epiboly,sp5a,500.0,,0.010981528999999999,0.017140495125204318,True,,8.425774093913315,0.144421939782794,,,
S6j,75p_E1_to_E2,75% epiboly,sp5l,500.0,,0.010083365,0.0168872750364244,True,,15.84459175646593,0.2675719788313029,,,
S6j,75p_E1_to_E2,75% epiboly,sp8b,500.0,,0.008374769,0.014225992467254396,True,,18.502266354514056,0.2632131017864514,,,
S6j,75p_E1_to_E2,75% epiboly,spon1b,500.0,,0.016492777,0.023266583681106567,True,,4.628081846384144,0.10767965356190687,,,
S6j,75p_E1_to_E2,75% epiboly,srp19,500.0,,0.0034173947999999997,0.008179209614172572,True,,15.440113288678717,0.12628792305467465,,,
S6j,75p_E1_to_E2,75% epiboly,srrm4,500.0,,0.0047546346,0.009817999880760908,True,,11.145638889633977,0.10942788128943053,,,
S6j,75p_E1_to_E2,75% epiboly,stmn1a,500.0,,0.003988226,0.009113561129197477,True,,8.839913181432555,0.08056308915578414,,,
S6j,75p_E1_to_E2,75% epiboly,stox1,500.0,,0.004285592,0.009773939242586491,True,,9.378944685384015,0.09166923551452284,,,
S6j,75p_E1_to_E2,75% epiboly,supt16h,500.0,,0.0006079737000000001,0.005498074693605303,True,,17.746203510801685,0.09756995243030832,,,
S6j,75p_E1_to_E2,75% epiboly,syne2b,500.0,,0.00488595,0.010571282915771007,True,,13.494917287918556,0.14265858857551625,,,
S6j,75p_E1_to_E2,75% epiboly,tagln2,500.0,,0.008439999,0.01352035836316645,True,,16.44524018284627,0.22234554064042653,,,
S6j,75p_E1_to_E2,75% epiboly,tbr1b,500.0,,0.016957893999999998,0.023922294843941923,True,,4.081394069383286,0.09763631230210293,,,
S6j,75p_E1_to_E2,75% epiboly,tbx1,500.0,,0.09891365,0.110652706772089,True,,4.43931712208179,0.4912224557780303,,,
S6j,75p_E1_to_E2,75% epiboly,tbx16,500.0,,0.0023155032999999997,0.0072342555737122845,True,,53.79740147674743,0.3891841514843976,,,
S6j,75p_E1_to_E2,75% epiboly,tbx16l,500.0,,0.0040939096,0.00881246612407267,True,,35.10842376265647,0.3093917950779981,,,
S6j,75p_E1_to_E2,75% epiboly,tbx3b,500.0,,0.0040095320000000005,0.00927339624613523,True,,15.181888550680217,0.14078766829512135,,,
S6j,75p_E1_to_E2,75% epiboly,tbx6,500.0,,0.033224154,0.04096837043762207,True,,6.441127210250052,0.2638824855853713,,,
S6j,75p_E1_to_E2,75% epiboly,tbxta,500.0,,0.005726941,0.011272246623411772,True,,35.468551642338944,0.3998102614876612,,,
S6j,75p_E1_to_E2,75% epiboly,tbxtb,500.0,,0.0072827186,0.012758626881986855,True,,19.815659101935985,0.25282060090224795,,,
S6j,75p_E1_to_E2,75% epiboly,tcf3b,500.0,,0.0032869827,0.008219499466940759,True,,22.776651499512838,0.1872126748589412,,,
S6j,75p_E1_to_E2,75% epiboly,tcf7,500.0,,0.006399503000000001,0.011994758993387216,True,,15.133739928053945,0.18152556310560825,,,
S6j,75p_E1_to_E2,75% epiboly,tcf7l1a,500.0,,0.0066666780000000005,0.012198516540229321,True,,17.422585029509275,0.21252969165602065,,,
S6j,75p_E1_to_E2,75% epiboly,tcf7l1b,500.0,,0.0037311781,0.009146380703896272,True,,13.196800256734827,0.12070295922137278,,,
S6j,75p_E1_to_E2,75% epiboly,tcf7l2,500.0,,0.0032484303,0.008522110804915427,True,,12.63167395367575,0.10764852508478888,,,
S6j,75p_E1_to_E2,75% epiboly,tdgf1,500.0,,0.002220748,0.007590862107463175,True,,25.340964337856366,0.19235976595880955,,,
S6j,75p_E1_to_E2,75% epiboly,tead1a,500.0,,0.004843778,0.010377961210906506,True,,14.584657184978724,0.15135900654007806,,,
S6j,75p_E1_to_E2,75% epiboly,tead1b,500.0,,0.005939329,0.01177354105748236,True,,10.930175117931066,0.1286868655164335,,,
S6j,75p_E1_to_E2,75% epiboly,tfap2a,500.0,,0.0030622517,0.007950876327231527,True,,42.54319991187969,0.3382557210640426,,,
S6j,75p_E1_to_E2,75% epiboly,tlcd5a,500.0,,0.0034805627000000002,0.008802509028464555,True,,12.879004401692747,0.11336755252353516,,,
S6j,75p_E1_to_E2,75% epiboly,tmed10,500.0,,0.004371178,0.010033144569024441,True,,14.09170566664988,0.14138412017763918,,,
S6j,75p_E1_to_E2,75% epiboly,tmed2,500.0,,0.00601926,0.011206876160576936,True,,13.690662894490924,0.15342956361476556,,,
S6j,75p_E1_to_E2,75% epiboly,tp63,500.0,,0.007782916500000001,0.014115276467055075,True,,26.9188104132921,0.37996645114785904,,,
S6j,75p_E1_to_E2,75% epiboly,tph1b,500.0,,0.019762319,0.02653385326266288,True,,12.0655031338419,0.3201442896935601,,,
S6j,75p_E1_to_E2,75% epiboly,tpx2,500.0,,0.0060419776,0.01135546592995524,True,,11.396197642847977,0.1294091340643964,,,
S6j,75p_E1_to_E2,75% epiboly,tram1,500.0,,0.0010919760000000001,0.005999740236438804,True,,26.834235919538862,0.16099844496054874,,,
S6j,75p_E1_to_E2,75% epiboly,trps1,500.0,,0.00410832,0.009200668334960936,True,,8.071119474468533,0.07425969337642918,,,
S6j,75p_E1_to_E2,75% epiboly,tshz3b,500.0,,0.022102546,0.029662408959120506,True,,4.538986132845937,0.13463726293225306,,,
S6j,75p_E1_to_E2,75% epiboly,tuba1a,500.0,,0.0016474322,0.007066012010909615,True,,21.928574712373166,0.15494757229975764,,,
S6j,75p_E1_to_E2,75% epiboly,tuba8l,500.0,,0.0024351804,0.007549583050422369,True,,19.746097524680785,0.14907480318431715,,,
S6j,75p_E1_to_E2,75% epiboly,tuba8l2,500.0,,0.0031997552000000004,0.008015240030363201,True,,27.00024455519644,0.21641344098840656,,,
