record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
gene_trajectory_comparison	A	E1	E2	full			drll.3																						0.38328943	0.49968877	0.11639934000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dscc1																						0.047768272	0.09864026	0.05087198799999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dync1li1																						0.0	0.014160292	0.014160292	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			dynll2b																						0.0	0.13327427	0.13327427	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ednraa																						-0.030016242999999998	0.029742563	0.059758806	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			efna1a																						0.14697899	0.26229644	0.11531745000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			efnb2a																						0.20867108	0.27059552	0.06192443999999997	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			efnb2b																						0.38349023	0.5659095000000001	0.18241927000000008	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			egln1b																						0.148195	0.18534479999999998	0.03714979999999998	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			eif3ea																						0.29006279999999995	0.28882729999999995	-0.0012355000000000005	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			elavl3																						0.057721935	0.060281765	0.002559829999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			elf1																						-0.060604702999999996	0.25108376	0.31168846299999997	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			elob																						0.12365768	0.16354652	0.039888839999999995	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			emid1																						0.07495267	0.20563315	0.13068048	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			emx2																						0.14373027	0.17225046	0.02852019	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			emx3																						0.19200651	0.16685034	-0.025156169999999978	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			epcam																						0.10380615	0.082119055	-0.021687095000000003	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			epha2a																						0.39844188	0.6046069000000001	0.20616502000000003	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ephb3a																						0.48407259999999996	0.60353106	0.11945846000000004	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			eppk1																						0.17943634	0.2267356	0.04729926000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			erf																						0.122197285	0.48393947	0.361742185	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			esrra																						0.13450561	0.34680304	0.21229743	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			ets2																						0.16456556	0.18579558	0.02123001999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			etv2																						0.018360274	0.0	-0.018360274	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			etv4																						0.42414352	0.5020063	0.07786278000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			etv5a																						0.16395953	0.11706169	-0.046897839999999996	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			etv5b																						0.35484442	0.3314442	-0.02340021999999997	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			eve1																						-0.040932234	0.8228040999999999	0.8637363339999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			f11r.1																						0.0	-0.0030073115999999997	-0.0030073115999999997	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fbln2																						0.23262800000000003	0.24740107	0.014773069999999972	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fezf2																						0.0017892282999999998	0.29195616	0.2901669317	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fgf8a																						0.34309359999999994	0.47406190000000004	0.1309683000000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			flrt3																						0.006730139	0.30645692	0.299726781	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fn1a																						0.048171077	0.3031842	0.255013123	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fn1b																						0.33437473	0.56108236	0.22670763	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fnbp1l																						-0.051045638	-0.03862596	0.012419677999999996	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			fosab																						0.17456986	0.15872799	-0.01584186999999998	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			foxa																						0.23928769	0.32980418	0.09051649	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			foxa2																						0.22828329	0.26995486	0.04167157000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			foxa3																						0.380198	0.51707333	0.13687533000000002	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			foxb1a																						-0.35504347	0.35522994	0.7102734100000001	True	gene_within_directional_target_embryo	True
